0x0000	なし
0x0001	ひのきのぼう
0x0002	こんぼう
0x0003	いしのオノ
0x0004	バトルアックス
0x0005	くさりがま
0x0006	いしのきば
0x0007	はがねのキバ
0x0008	オリハルコンのキバ
0x0009	とがったホネ
0x000A	どうのつるぎ
0x000B	のこぎりがたな
0x000C	はがねのつるぎ
0x000D	パパスのつるぎ
0x000E	スネークソード
0x000F	はじゃのつるぎ
0x0010	まどろみのけん
0x0011	はやぶさまけん
0x0012	ゆうわくのけん
0x0013	こおりのやいば
0x0014	ゾンビキラー
0x0015	ようせいのけん
0x0016	ドラゴンキラー
0x0017	みなごろしのけん
0x0018	もろばのつるぎ
0x0019	きせきのつるぎ
0x001A	ふぶきのつるぎ
0x001B	てんくうのつるぎ
0x001C	じごくのサーベル
0x001D	メタルキングのけん
0x001E	しゅくふくのつえ
0x001F	かしのつえ
0x0020	てつのつえ
0x0021	いかずちのつえ
0x0022	てんばつのつえ
0x0023	まふうじのつえ
0x0024	りりょくのつえ
0x0025	ストロスのつえ
0x0026	マグマのつえ
0x0027	ふっかつのつえ
0x0028	ドラゴンのつえ
0x0029	おおきづち
0x002A	おおかなづち
0x002B	ウォーハンマー
0x002C	まじのかなづち
0x002D	てつのツメ
0x002E	ほのおのツメ
0x002F	あくまのツメ
0x0030	くだものナイフ
0x0031	ブロンズナイフ
0x0032	どくがのナイフ
0x0033	どくばり
0x0034	キラーピアス
0x0035	ブーメラン
0x0036	やいばのブーメラン
0x0037	ほのおのブーメラン
0x0038	いばらのムチ
0x0039	チェーンクロス
0x003A	モーニングスター
0x003B	はがねのムチ
0x003C	グリンガムのムチ
0x003D	はかいのてっきゅう
0x003E	たけのヤリ
0x003F	らいじんのヤリ
0x0040	デーモンスピア
0x0041	ビックボウガン
0x0042	さまようよろい
0x0043	ただのぬのきれ
0x0044	ぬののふく
0x0045	ドレイのふく
0x0046	ておりのケープ
0x0047	たびびとのふく
0x0048	きぬのエプロン
0x0049	かわのよろい
0x004A	かわのこしまき
0x004B	きぬのローブ
0x004C	うろこのよろい
0x004D	ステテコパンツ
0x004E	かわのドレス
0x004F	けがわのマント
