0000	E8
0001	83
0002	0E
0003	C3
0004	08
0005	43
0006	B9
0007	E1
0008	11
0009	63
000A	F6
000B	A8
000C	FD
000D	B4
000E	1A
000F	D9
0010	36
0011	03
0012	3B
0013	F6
0014	BC
0015	4D
0016	A4
0017	79
0018	29
0019	00
001A	9A
001B	C7
001C	89
001D	D8
001E	64
001F	43
0020	75
0021	4B
0022	E2
0023	D1
0024	3E
0025	D5
0026	61
0027	77
0028	D9
0029	B9
002A	AE
002B	8E
002C	17
002D	53
002E	C0
002F	32
0030	26
0031	6F
0032	C7
0033	F2
0034	6E
0035	D9
0036	B2
0037	37
0038	CD
0039	AB
003A	66
003B	35
003C	76
003D	8D
003E	27
003F	CE
0040	B2
0041	B6
0042	3C
0043	28
0044	CC
0045	82
0046	F1
0047	2A
0048	F0
0049	39
004A	3B
004B	E2
004C	3A
004D	81
004E	BC
004F	50
0050	3A
0051	E9
0052	86
0053	C0
0054	01
0055	06
0056	7E
0057	51
0058	DC
0059	5D
005A	80
005B	20
005C	AF
005D	35
005E	BF
005F	15
0060	3E
0061	F2
0062	15
0063	B0
0064	98
0065	33
0066	EC
0067	67
0068	ED
0069	E7
006A	50
006B	D9
006C	49
006D	C3
006E	0A
006F	F1
0070	4F
0071	F1
0072	26
0073	18
0074	A3
0075	60
0076	8B
0077	4F
0078	FE
0079	DE
007A	AC
007B	C3
007C	86
007D	9A
007E	BB
007F	21
0080	C2
0081	0D
0082	80
0083	30
0084	B1
0085	13
0086	97
0087	C9
0088	7F
0089	49
008A	62
008B	BD
008C	AF
008D	C0
008E	A4
008F	80
0090	9F
0091	74
0092	18
0093	4E
0094	5E
0095	93
0096	AE
0097	D5
0098	EF
0099	DD
009A	9E
009B	80
009C	C5
009D	F8
009E	91
009F	CA
00A0	D7
00A1	8C
00A2	51
00A3	E3
00A4	9F
00A5	CD
00A6	8C
00A7	42
00A8	2A
00A9	59
00AA	67
00AB	65
00AC	C2
00AD	34
00AE	31
00AF	E3
00B0	DB
00B1	4E
00B2	53
00B3	3D
00B4	FA
00B5	24
00B6	C0
00B7	08
00B8	91
00B9	EB
00BA	98
00BB	52
00BC	28
00BD	24
00BE	A2
00BF	29
00C0	2E
00C1	E1
00C2	A0
00C3	E2
00C4	34
00C5	74
00C6	CB
00C7	D1
00C8	B0
00C9	14
00CA	2E
00CB	0B
00CC	1F
00CD	57
00CE	6B
00CF	69
00D0	98
00D1	10
00D2	E7
00D3	55
00D4	CE
00D5	92
00D6	D1
00D7	23
00D8	B1
00D9	05
00DA	B1
00DB	6F
00DC	04
00DD	74
00DE	5C
00DF	25
00E0	0D
00E1	D0
00E2	68
00E3	01
00E4	2B
00E5	78
00E6	A8
00E7	33
00E8	92
00E9	FA
00EA	31
00EB	65
00EC	64
00ED	74
00EE	67
00EF	FD
00F0	DF
00F1	38
00F2	2D
00F3	B6
00F4	E9
00F5	49
00F6	AC
00F7	D2
00F8	18
00F9	CA
00FA	3A
00FB	0A
00FC	49
00FD	8C
00FE	D5
00FF	49
0100	C6
0101	67
0102	10
0103	4C
0104	10
0105	B3
0106	A1
0107	D6
0108	8C
0109	C0
010A	D9
010B	DB
010C	81
010D	00
010E	2D
010F	18
0110	BD
0111	01
0112	06
0113	1A
0114	8B
0115	28
0116	97
0117	45
0118	9E
0119	67
011A	93
011B	6D
011C	61
011D	B4
011E	2A
011F	70
0120	2C
0121	E5
0122	90
0123	E5
0124	D6
0125	6C
0126	D9
0127	B2
0128	3E
0129	04
012A	65
012B	06
012C	76
012D	82
012E	FA
012F	5A
0130	3D
0131	9D
0132	08
0133	86
0134	E4
0135	68
0136	D7
0137	47
0138	A9
0139	66
013A	32
013B	56
013C	7C
013D	F0
013E	CE
013F	90
0140	CE
0141	80
0142	92
0143	B7
0144	88
0145	9F
0146	95
0147	65
0148	47
0149	9E
014A	95
014B	37
014C	92
014D	7B
014E	2E
014F	46
0150	60
0151	11
0152	E9
0153	2E
0154	B5
0155	73
0156	32
0157	9A
0158	C2
0159	23
015A	24
015B	B4
015C	B1
